CategoryID,Category Path
37908,"Antiques > Antiquities > The Americas"
162922,"Antiques > Antiquities > Byzantine"
162923,"Antiques > Antiquities > Celtic"
37905,"Antiques > Antiquities > Egyptian"
162916,"Antiques > Antiquities > Far Eastern"
37906,"Antiques > Antiquities > Greek"
162917,"Antiques > Antiquities > Holy Land"
162918,"Antiques > Antiquities > Islamic"
91101,"Antiques > Antiquities > Near Eastern"
66834,"Antiques > Antiquities > Neolithic & Paleolithic"
37907,"Antiques > Antiquities > Roman"
162919,"Antiques > Antiquities > South Italian"
162920,"Antiques > Antiquities > Viking"
162921,"Antiques > Antiquities > Reproductions"
171169,"Antiques > Antiquities > Price Guides & Publications"
73464,"Antiques > Antiquities > Other Antiquities"
162925,"Antiques > Architectural & Garden > Balusters"
162926,"Antiques > Architectural & Garden > Barn Doors & Barn Door Hardware"
162927,"Antiques > Architectural & Garden > Beams"
37909,"Antiques > Architectural & Garden > Ceiling Tins"
63516,"Antiques > Architectural & Garden > Chandeliers, Sconces & Lighting Fixtures"
162928,"Antiques > Architectural & Garden > Columns & Posts"
162929,"Antiques > Architectural & Garden > Corbels"
37910,"Antiques > Architectural & Garden > Doors"
63517,"Antiques > Architectural & Garden > Finials"
63518,"Antiques > Architectural & Garden > Fireplaces, Mantels & Fireplace Accessories"
4708,"Antiques > Architectural & Garden > Garden"
37912,"Antiques > Architectural & Garden > Hardware > Door Bells & Knockers"
37914,"Antiques > Architectural & Garden > Hardware > Door Knobs & Handles"
37916,"Antiques > Architectural & Garden > Hardware > Door Plates & Backplates"
162933,"Antiques > Architectural & Garden > Hardware > Drawer Pulls"
162934,"Antiques > Architectural & Garden > Hardware > Escutcheons & Key Hole Covers"
162935,"Antiques > Architectural & Garden > Hardware > Heating Grates & Vents"
184487,"Antiques > Architectural & Garden > Hardware > Hinges"
37913,"Antiques > Architectural & Garden > Hardware > Hooks, Brackets & Curtain Rods"
37915,"Antiques > Architectural & Garden > Hardware > Locks, Latches & Keys"
162930,"Antiques > Architectural & Garden > Hardware > Nails"
162931,"Antiques > Architectural & Garden > Hardware > Screws"
162932,"Antiques > Architectural & Garden > Hardware > Switch Plates & Outlet Covers"
66637,"Antiques > Architectural & Garden > Hardware > Other Antique Hardware"
162936,"Antiques > Architectural & Garden > Pediments"
167948,"Antiques > Architectural & Garden > Plumbing & Fixtures"
63519,"Antiques > Architectural & Garden > Signs & Plaques"
151721,"Antiques > Architectural & Garden > Stained Glass Windows"
112084,"Antiques > Architectural & Garden > Stair & Carpet Rods"
37917,"Antiques > Architectural & Garden > Tiles"
37918,"Antiques > Architectural & Garden > Weathervanes & Lightning Rods"
63520,"Antiques > Architectural & Garden > Windows, Shutters & Sash Locks"
162937,"Antiques > Architectural & Garden > Reproductions"
171170,"Antiques > Architectural & Garden > Price Guides & Publications"
1207,"Antiques > Architectural & Garden > Other Architectural Antiques"
162938,"Antiques > Asian Antiques > Burma"
162939,"Antiques > Asian Antiques > China > Amulets"
162940,"Antiques > Asian Antiques > China > Armor"
37920,"Antiques > Asian Antiques > China > Baskets"
162941,"Antiques > Asian Antiques > China > Bells"
37921,"Antiques > Asian Antiques > China > Bowls"
37922,"Antiques > Asian Antiques > China > Boxes"
162966,"Antiques > Asian Antiques > China > Bracelets"
162967,"Antiques > Asian Antiques > China > Brush Pots"
162968,"Antiques > Asian Antiques > China > Brush Washers"
37923,"Antiques > Asian Antiques > China > Cabinets"
37924,"Antiques > Asian Antiques > China > Chairs"
37925,"Antiques > Asian Antiques > China > Chests"
162942,"Antiques > Asian Antiques > China > Fans"
184440,"Antiques > Asian Antiques > China > Figurines & Statues"
37926,"Antiques > Asian Antiques > China > Glasses & Cups"
162943,"Antiques > Asian Antiques > China > Incense Burners"
162944,"Antiques > Asian Antiques > China > Ink Stones"
162945,"Antiques > Asian Antiques > China > Masks"
37927,"Antiques > Asian Antiques > China > Necklaces & Pendants"
38124,"Antiques > Asian Antiques > China > Paintings & Scrolls"
37928,"Antiques > Asian Antiques > China > Plates"
37929,"Antiques > Asian Antiques > China > Pots"
162946,"Antiques > Asian Antiques > China > Rings"
155352,"Antiques > Asian Antiques > China > Robes & Textiles"
162947,"Antiques > Asian Antiques > China > Seals"
37930,"Antiques > Asian Antiques > China > Snuff Bottles"
162963,"Antiques > Asian Antiques > China > Swords"
37932,"Antiques > Asian Antiques > China > Tables"
162964,"Antiques > Asian Antiques > China > Tea Caddies"
162965,"Antiques > Asian Antiques > China > Teapots"
37933,"Antiques > Asian Antiques > China > Vases"
73465,"Antiques > Asian Antiques > China > Other Chinese Antiques"
60209,"Antiques > Asian Antiques > India"
162969,"Antiques > Asian Antiques > Japan > Armor"
162970,"Antiques > Asian Antiques > Japan > Bells"
37935,"Antiques > Asian Antiques > Japan > Bowls"
37936,"Antiques > Asian Antiques > Japan > Boxes"
162971,"Antiques > Asian Antiques > Japan > Dolls"
162972,"Antiques > Asian Antiques > Japan > Fans"
37937,"Antiques > Asian Antiques > Japan > Glasses & Cups"
155353,"Antiques > Asian Antiques > Japan > Kimonos & Textiles"
162975,"Antiques > Asian Antiques > Japan > Masks"
37938,"Antiques > Asian Antiques > Japan > Netsuke"
38125,"Antiques > Asian Antiques > Japan > Paintings & Scrolls"
37939,"Antiques > Asian Antiques > Japan > Plates"
38126,"Antiques > Asian Antiques > Japan > Prints"
162973,"Antiques > Asian Antiques > Japan > Statues"
66841,"Antiques > Asian Antiques > Japan > Swords"
162976,"Antiques > Asian Antiques > Japan > Tea Caddies"
162977,"Antiques > Asian Antiques > Japan > Teapots"
162978,"Antiques > Asian Antiques > Japan > Tsuba"
37940,"Antiques > Asian Antiques > Japan > Vases"
73466,"Antiques > Asian Antiques > Japan > Other Japanese Antiques"
162979,"Antiques > Asian Antiques > Korea"
116556,"Antiques > Asian Antiques > Middle East"
162989,"Antiques > Asian Antiques > Mongolia"
162980,"Antiques > Asian Antiques > Southeast Asia > Amulets"
162981,"Antiques > Asian Antiques > Southeast Asia > Bells"
162982,"Antiques > Asian Antiques > Southeast Asia > Bracelets"
162983,"Antiques > Asian Antiques > Southeast Asia > Masks"
162984,"Antiques > Asian Antiques > Southeast Asia > Necklaces & Pendants"
162985,"Antiques > Asian Antiques > Southeast Asia > Paintings"
162986,"Antiques > Asian Antiques > Southeast Asia > Statues"
20085,"Antiques > Asian Antiques > Southeast Asia > Other Southeast Asian Antiques"
79947,"Antiques > Asian Antiques > Tibet"
162988,"Antiques > Asian Antiques > Unknown"
155354,"Antiques > Asian Antiques > Reproductions"
171171,"Antiques > Asian Antiques > Price Guides & Publications"
2194,"Antiques > Asian Antiques > Other Asian Antiques"
63522,"Antiques > Decorative Arts > Ceramics & Porcelain > Bowls"
63523,"Antiques > Decorative Arts > Ceramics & Porcelain > Boxes"
162999,"Antiques > Decorative Arts > Ceramics & Porcelain > Butter Pats"
163000,"Antiques > Decorative Arts > Ceramics & Porcelain > Candle Holders"
163001,"Antiques > Decorative Arts > Ceramics & Porcelain > Candlesticks"
163002,"Antiques > Decorative Arts > Ceramics & Porcelain > Chamber Pots"
63524,"Antiques > Decorative Arts > Ceramics & Porcelain > Creamers & Sugar Bowls"
163003,"Antiques > Decorative Arts > Ceramics & Porcelain > Crocks"
63525,"Antiques > Decorative Arts > Ceramics & Porcelain > Cups & Saucers"
63526,"Antiques > Decorative Arts > Ceramics & Porcelain > Figurines"
63527,"Antiques > Decorative Arts > Ceramics & Porcelain > Jars"
163004,"Antiques > Decorative Arts > Ceramics & Porcelain > Jugs"
63529,"Antiques > Decorative Arts > Ceramics & Porcelain > Mugs & Tankards"
63528,"Antiques > Decorative Arts > Ceramics & Porcelain > Pitchers"
163006,"Antiques > Decorative Arts > Ceramics & Porcelain > Planters"
63531,"Antiques > Decorative Arts > Ceramics & Porcelain > Plates & Chargers"
63532,"Antiques > Decorative Arts > Ceramics & Porcelain > Platters & Trays"
63533,"Antiques > Decorative Arts > Ceramics & Porcelain > Salt & Pepper Shakers"
63534,"Antiques > Decorative Arts > Ceramics & Porcelain > Teapots & Tea Sets"
63535,"Antiques > Decorative Arts > Ceramics & Porcelain > Tiles"
63536,"Antiques > Decorative Arts > Ceramics & Porcelain > Tureens"
163005,"Antiques > Decorative Arts > Ceramics & Porcelain > Urns"
63530,"Antiques > Decorative Arts > Ceramics & Porcelain > Vases"
2203,"Antiques > Decorative Arts > Ceramics & Porcelain > Other Antique Ceramics"
63537,"Antiques > Decorative Arts > Clocks"
162990,"Antiques > Decorative Arts > Glass > Bottles"
63539,"Antiques > Decorative Arts > Glass > Bowls"
162991,"Antiques > Decorative Arts > Glass > Candle Holders"
162992,"Antiques > Decorative Arts > Glass > Candlesticks"
162993,"Antiques > Decorative Arts > Glass > Compotes"
63541,"Antiques > Decorative Arts > Glass > Decanters"
162995,"Antiques > Decorative Arts > Glass > Dishes"
162996,"Antiques > Decorative Arts > Glass > Figurines"
63540,"Antiques > Decorative Arts > Glass > Jars"
162994,"Antiques > Decorative Arts > Glass > Jugs"
63542,"Antiques > Decorative Arts > Glass > Perfume Bottles"
63543,"Antiques > Decorative Arts > Glass > Pitchers"
63544,"Antiques > Decorative Arts > Glass > Plates"
162997,"Antiques > Decorative Arts > Glass > Salt & Pepper Shakers"
63545,"Antiques > Decorative Arts > Glass > Stemware"
63546,"Antiques > Decorative Arts > Glass > Vases"
2205,"Antiques > Decorative Arts > Glass > Other Antique Glass"
63547,"Antiques > Decorative Arts > Lamps"
1211,"Antiques > Decorative Arts > Metalware"
20089,"Antiques > Decorative Arts > Mirrors"
40024,"Antiques > Decorative Arts > Picture Frames"
1218,"Antiques > Decorative Arts > Toleware"
37942,"Antiques > Decorative Arts > Woodenware > Bowls"
37943,"Antiques > Decorative Arts > Woodenware > Boxes"
162998,"Antiques > Decorative Arts > Woodenware > Carved Figures"
37944,"Antiques > Decorative Arts > Woodenware > Trays"
1219,"Antiques > Decorative Arts > Woodenware > Other Antique Woodenware"
171172,"Antiques > Decorative Arts > Price Guides & Publications"
73467,"Antiques > Decorative Arts > Other Antique Decorative Arts"
163007,"Antiques > Ethnographic > African > Jewelry"
37946,"Antiques > Ethnographic > African > Masks"
37947,"Antiques > Ethnographic > African > Sculptures & Statues"
4171,"Antiques > Ethnographic > African > Other African Antiques"
4170,"Antiques > Ethnographic > Latin American"
4173,"Antiques > Ethnographic > Native American"
4172,"Antiques > Ethnographic > Pacific Islands & Oceania"
171173,"Antiques > Ethnographic > Price Guides & Publications"
2204,"Antiques > Ethnographic > Other Ethnographic Antiques"
98437,"Antiques > Furniture > Armoires & Wardrobes > Pre-1800"
60275,"Antiques > Furniture > Armoires & Wardrobes > 1800-1899"
66858,"Antiques > Furniture > Armoires & Wardrobes > 1900-1950"
162894,"Antiques > Furniture > Armoires & Wardrobes > Post-1950"
162895,"Antiques > Furniture > Armoires & Wardrobes > Unknown"
63552,"Antiques > Furniture > Beds & Bedroom Sets > Pre-1800"
63550,"Antiques > Furniture > Beds & Bedroom Sets > 1800-1899"
63551,"Antiques > Furniture > Beds & Bedroom Sets > 1900-1950"
156308,"Antiques > Furniture > Beds & Bedroom Sets > Post-1950"
162887,"Antiques > Furniture > Beds & Bedroom Sets > Unknown"
63554,"Antiques > Furniture > Benches & Stools > Pre-1800"
63555,"Antiques > Furniture > Benches & Stools > 1800-1899"
63556,"Antiques > Furniture > Benches & Stools > 1900-1950"
156953,"Antiques > Furniture > Benches & Stools > Post-1950"
162888,"Antiques > Furniture > Benches & Stools > Unknown"
63558,"Antiques > Furniture > Bookcases > Pre-1800"
63559,"Antiques > Furniture > Bookcases > 1800-1899"
63560,"Antiques > Furniture > Bookcases > 1900-1950"
156309,"Antiques > Furniture > Bookcases > Post-1950"
162889,"Antiques > Furniture > Bookcases > Unknown"
63562,"Antiques > Furniture > Cabinets & Cupboards > Pre-1800"
63563,"Antiques > Furniture > Cabinets & Cupboards > 1800-1899"
63564,"Antiques > Furniture > Cabinets & Cupboards > 1900-1950"
156310,"Antiques > Furniture > Cabinets & Cupboards > Post-1950"
162892,"Antiques > Furniture > Cabinets & Cupboards > Unknown"
63566,"Antiques > Furniture > Chairs > Pre-1800"
63567,"Antiques > Furniture > Chairs > 1800-1899"
63568,"Antiques > Furniture > Chairs > 1900-1950"
156311,"Antiques > Furniture > Chairs > Post-1950"
162893,"Antiques > Furniture > Chairs > Unknown"
98431,"Antiques > Furniture > Chests & Trunks > Pre-1800"
66842,"Antiques > Furniture > Chests & Trunks > 1800-1899"
66854,"Antiques > Furniture > Chests & Trunks > 1900-1950"
162890,"Antiques > Furniture > Chests & Trunks > Post-1950"
162891,"Antiques > Furniture > Chests & Trunks > Unknown"
63570,"Antiques > Furniture > Desks & Secretaries > Pre-1800"
63571,"Antiques > Furniture > Desks & Secretaries > 1800-1899"
63572,"Antiques > Furniture > Desks & Secretaries > 1900-1950"
156312,"Antiques > Furniture > Desks & Secretaries > Post-1950"
162896,"Antiques > Furniture > Desks & Secretaries > Unknown"
63574,"Antiques > Furniture > Dining Sets > Pre-1800"
63575,"Antiques > Furniture > Dining Sets > 1800-1899"
63576,"Antiques > Furniture > Dining Sets > 1900-1950"
156313,"Antiques > Furniture > Dining Sets > Post-1950"
162897,"Antiques > Furniture > Dining Sets > Unknown"
63578,"Antiques > Furniture > Dressers & Vanities > Pre-1800"
63579,"Antiques > Furniture > Dressers & Vanities > 1800-1899"
63580,"Antiques > Furniture > Dressers & Vanities > 1900-1950"
156314,"Antiques > Furniture > Dressers & Vanities > Post-1950"
162898,"Antiques > Furniture > Dressers & Vanities > Unknown"
162900,"Antiques > Furniture > Hall Trees & Stands > Pre-1800"
162901,"Antiques > Furniture > Hall Trees & Stands > 1800-1899"
162902,"Antiques > Furniture > Hall Trees & Stands > 1900-1950"
162903,"Antiques > Furniture > Hall Trees & Stands > Post-1950"
162904,"Antiques > Furniture > Hall Trees & Stands > Unknown"
162906,"Antiques > Furniture > Nightstands > Pre-1800"
162907,"Antiques > Furniture > Nightstands > 1800-1899"
162908,"Antiques > Furniture > Nightstands > 1900-1950"
162909,"Antiques > Furniture > Nightstands > Post-1950"
162910,"Antiques > Furniture > Nightstands > Unknown"
98445,"Antiques > Furniture > Sideboards & Buffets > Pre-1800"
66848,"Antiques > Furniture > Sideboards & Buffets > 1800-1899"
66862,"Antiques > Furniture > Sideboards & Buffets > 1900-1950"
162914,"Antiques > Furniture > Sideboards & Buffets > Post-1950"
162915,"Antiques > Furniture > Sideboards & Buffets > Unknown"
63582,"Antiques > Furniture > Sofas & Chaises > Pre-1800"
63583,"Antiques > Furniture > Sofas & Chaises > 1800-1899"
63584,"Antiques > Furniture > Sofas & Chaises > 1900-1950"
156315,"Antiques > Furniture > Sofas & Chaises > Post-1950"
162911,"Antiques > Furniture > Sofas & Chaises > Unknown"
63586,"Antiques > Furniture > Tables > Pre-1800"
63587,"Antiques > Furniture > Tables > 1800-1899"
63588,"Antiques > Furniture > Tables > 1900-1950"
156316,"Antiques > Furniture > Tables > Post-1950"
162912,"Antiques > Furniture > Tables > Unknown"
162913,"Antiques > Furniture > Parts & Salvaged Pieces"
171166,"Antiques > Furniture > Price Guides & Publications"
63589,"Antiques > Furniture > Other Antique Furniture"
163009,"Antiques > Home & Hearth > Baby Carriages & Buggies"
163010,"Antiques > Home & Hearth > Baby Cradles"
163011,"Antiques > Home & Hearth > Bath Tubs"
163012,"Antiques > Home & Hearth > Clothing Wringers"
163013,"Antiques > Home & Hearth > Hearth Ware"
163014,"Antiques > Home & Hearth > Ice Boxes"
163015,"Antiques > Home & Hearth > Meat Grinders"
163016,"Antiques > Home & Hearth > Sinks"
163017,"Antiques > Home & Hearth > Stoves"
163018,"Antiques > Home & Hearth > Toasters"
151724,"Antiques > Home & Hearth > Trivets"
163057,"Antiques > Home & Hearth > Washing Machines"
163058,"Antiques > Home & Hearth > Other Antique Home & Hearth"
22422,"Antiques > Incunabula"
166292,"Antiques > Linens & Textiles (Pre-1930) > Bed & Bath Linens > Bedspreads & Coverlets"
166293,"Antiques > Linens & Textiles (Pre-1930) > Bed & Bath Linens > Blankets"
166294,"Antiques > Linens & Textiles (Pre-1930) > Bed & Bath Linens > Pillowcases"
166295,"Antiques > Linens & Textiles (Pre-1930) > Bed & Bath Linens > Sheets"
166296,"Antiques > Linens & Textiles (Pre-1930) > Bed & Bath Linens > Towels"
166297,"Antiques > Linens & Textiles (Pre-1930) > Bed & Bath Linens > Other Antique Bed & Bath Linen"
20117,"Antiques > Linens & Textiles (Pre-1930) > Embroidery"
66639,"Antiques > Linens & Textiles (Pre-1930) > Fabric > Chenille"
38001,"Antiques > Linens & Textiles (Pre-1930) > Fabric > Cotton"
66640,"Antiques > Linens & Textiles (Pre-1930) > Fabric > Damask"
66641,"Antiques > Linens & Textiles (Pre-1930) > Fabric > Linen"
38002,"Antiques > Linens & Textiles (Pre-1930) > Fabric > Silk"
66642,"Antiques > Linens & Textiles (Pre-1930) > Fabric > Velvet"
38003,"Antiques > Linens & Textiles (Pre-1930) > Fabric > Wool"
73469,"Antiques > Linens & Textiles (Pre-1930) > Fabric > Other Antique Fabric"
163107,"Antiques > Linens & Textiles (Pre-1930) > Feed & Flour Sacks"
163108,"Antiques > Linens & Textiles (Pre-1930) > Handkerchiefs"
39450,"Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Napkins"
163110,"Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Placemats"
39451,"Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Runners"
39453,"Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Tablecloths"
39454,"Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Towels"
2220,"Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Other Antique Table Linens"
163109,"Antiques > Linens & Textiles (Pre-1930) > Lace, Crochet & Doilies > Collars & Cuffs"
39445,"Antiques > Linens & Textiles (Pre-1930) > Lace, Crochet & Doilies > Doilies"
39446,"Antiques > Linens & Textiles (Pre-1930) > Lace, Crochet & Doilies > Runners"
39447,"Antiques > Linens & Textiles (Pre-1930) > Lace, Crochet & Doilies > Tablecloths"
39448,"Antiques > Linens & Textiles (Pre-1930) > Lace, Crochet & Doilies > Trim & Edging"
